,id_x,location,lat_x,long_x,description,category,created_at,image_filename,user,data_id,id_y,device_name,lat_y,long_y,pm_25,pm_10,no2,co,co2,ch4,temp,rh,data_created_time,date,month,AQI
71,811,Sector 7,28.4706324,77.0183214,Was at some function today and because of lot of lightning there were lot of insects and there was a lot of public as well and pm 10 was the maximum ,Construction & Demolition Waste,2024-10-11 18:15:36.305787,1000178750.jpg,person 11,5859627,5859627,TARA009,28.470488,77.018173,68.0,196.1,32.0,1.03,,,33.0,40.0,2024-10-11 23:38:00,2024-10-11,2024-10,Moderate
72,812,Shivaji Nagar,28.4552535,77.0289195,Burning garbage ,Brick Kilns,2024-10-12 17:37:17.100573,1000077697.jpg,person 12,5918512,5918512,TARA010,,,219.5,355.6,14.0,2.02,,,33.4,31.0,2024-10-12 23:05:00,2024-10-12,2024-10,Very Unhealthy
73,813,Shivaji Nagar,28.4576246,77.0274801,Vehicles pollution ,Vehicle Pollution,2024-10-12 17:38:32.110825,1000077698.jpg,person 12,5918634,5918634,TARA010,,,219.5,355.6,14.0,2.02,,,33.4,31.0,2024-10-12 23:08:00,2024-10-12,2024-10,Very Unhealthy
74,814,Sector 7,28.4624799,77.0109248,Construction ,Construction & Demolition Waste,2024-10-12 17:49:52.091992,1000077699.jpg,person 12,5919038,5919038,TARA010,28.465681,77.021347,219.5,355.6,32.03,1.67,,,33.0,30.0,2024-10-12 23:17:00,2024-10-12,2024-10,Very Unhealthy
75,815,Sector 7,28.4705836,77.0183161,Was at ravan dehan today and come through the burning of the paper as you can see in the image . ,Waste Burning,2024-10-12 19:08:15.923872,1000179278.jpg,person 11,5911629,5911629,TARA009,28.470648,77.018311,143.0,337.7,18.07,1.31,,,35.8,32.0,2024-10-12 20:30:00,2024-10-12,2024-10,Unhealthy for Sensitive Groups
76,816,Gurugram,28.356273,77.0697685,Burning of rawan,Waste Burning,2024-10-13 03:26:28.808653,1000065486.jpg,person 9,5942383,5942383,TARA067,28.356277,77.069954,146.9,202.2,33.73,1.2,,,30.4,46.0,2024-10-13 08:53:00,2024-10-13,2024-10,Unhealthy for Sensitive Groups
77,819,Sector 12,28.4634644,77.0242479,The censor was in the Subhash nagar today for the first time and according to me all the things were normal .,Construction & Demolition Waste,2024-10-13 11:07:07.006276,1000270399.jpg,person 11,5960748,5960748,TARA009,28.463524,77.024323,27.8,67.4,38.7,0.78,,,39.4,23.0,2024-10-13 16:28:00,2024-10-13,2024-10,Good
78,823,Sector 7,28.462744,77.010767,Vehicle pollution ,Vehicle Pollution,2024-10-14 09:21:06.620663,1000010710.jpg,person 14,6018076,6018076,TARA080,28.462688,77.010773,48.9,86.1,16.0,,628.0,,33.9,28.0,2024-10-14 14:50:00,2024-10-14,2024-10,Good
79,825,Shivaji Nagar,28.4579832,77.0274801,Vehicle pollution,Vehicle Pollution,2024-10-15 03:52:37.355331,1000077822.jpg,person 12,6063997,6063997,TARA010,,,483.7,1356.8,34.63,1.89,,,31.7,30.0,2024-10-15 09:21:00,2024-10-15,2024-10,Hazardous
80,826,Sector 31,28.4474181,77.0465977,Vehicle pollution,Vehicle Pollution,2024-10-15 04:05:09.436631,1000011786.jpg,person 14,6021296,6021296,TARA080,28.462736,77.010796,83.0,287.9,16.0,,592.0,,34.1,29.0,2024-10-14 15:59:00,2024-10-14,2024-10,Moderate
81,833,Sector 7,28.4705613,77.0182246,Was not able to take photo before but pm 10 went up a bit near this area .,Vehicle Pollution,2024-10-15 18:17:05.998381,1000180200.jpg,person 11,6079072,6079072,TARA009,28.470646,77.01796,38.3,91.2,14.0,0.98,,,34.3,31.0,2024-10-15 14:46:00,2024-10-15,2024-10,Good
82,834,Sector 43,28.4482694,77.0792906,Vehicle pollution ,Vehicle Pollution,2024-10-16 03:42:21.381550,1000077947.jpg,person 12,6135336,6135336,TARA010,,,,,17.0,1.16,,,35.7,26.0,2024-10-16 09:11:00,2024-10-16,2024-10,Hazardous
83,838,Sector 29,28.4590877,77.0724835,Traffic jam,Vehicle Pollution,2024-10-16 06:29:42.027179,1000011786_qKRD6v1.jpg,person 14,6144971,6144971,TARA080,28.45854,77.074059,110.9,204.9,17.0,,694.0,,34.0,34.0,2024-10-16 11:58:00,2024-10-16,2024-10,Unhealthy for Sensitive Groups
84,855,Sector 7,28.4627499,77.0107657,Muddy waste,Construction & Demolition Waste,2024-10-17 10:11:07.214349,1000009091.jpg,person 14,6232128,6232128,TARA080,28.462709,77.010788,71.3,110.9,15.1,,640.0,,33.8,32.0,2024-10-17 15:39:00,2024-10-17,2024-10,Moderate
